Comp,Soil,Prop,N,wt.mean,min,max
Cover Crop,Chenneby,AggStab,2,9,6,12
Cover Crop,Chenneby,Bgluc,2,112,86,138
Cover Crop,Chenneby,BulkDensity,2,1.49529779,1.46361677,1.52697881
Cover Crop,Chenneby,CALC_SOC,2,1.703842105,1.45006804,1.95761617
Cover Crop,Chenneby,CEC_ph7,2,10.3735523,10.0311603,10.7159443
Cover Crop,Chenneby,Mehlich3_P,2,45.265433650000006,27.1537675,63.3770998
Cover Crop,Chenneby,NewZ_P,2,15.5,14,17
Cover Crop,Chenneby,ph_h20,2,5.765000000000001,5.53,6
Cover Crop,Chenneby,Pom_C,2,0.5754101349999999,0.43517445,0.71564582
Cover Crop,Chenneby,Pom_N,2,0.05153746,0.04327702,0.0597979
Cover Crop,Chenneby,Tot_N,2,0.19269529000000002,0.17238571,0.21300487
Cover Crop,Chenneby,Tot_P,2,504.76431599999995,440.215307,569.313325
Cover Crop,Chenneby,WaterSol_P,2,0.25352065,0.0902735,0.4167678
Cover Crop,Feliciana,AggStab,4,5,2,8
Cover Crop,Feliciana,Bgluc,4,116.25,87,162
Cover Crop,Feliciana,BulkDensity,4,1.4898872675,1.47021748,1.52993968
Cover Crop,Feliciana,CALC_SOC,4,1.4163398275,1.1902398299999999,1.73691038
Cover Crop,Feliciana,CEC_ph7,4,13.734650825,13.5589869,14.0794572
Cover Crop,Feliciana,Mehlich3_P,4,130.304630675,75.5860265,225.8268994
Cover Crop,Feliciana,NewZ_P,4,22.25,18,28
Cover Crop,Feliciana,ph_h20,4,6.419999999999999,6.24,6.52
Cover Crop,Feliciana,Pom_C,4,0.47440657750000004,0.31037274,0.67754502
Cover Crop,Feliciana,Pom_N,4,0.032644280000000005,0.02297891,0.04843137
Cover Crop,Feliciana,Tot_N,4,0.178672485,0.16340055,0.21419485
Cover Crop,Feliciana,Tot_P,4,826.5332814999999,720.898732,987.178153
Cover Crop,Feliciana,WaterSol_P,4,0.7658564250000001,0.4739551,1.3157683
Cover Crop,Hicks,AggStab,2,28.5,26,31
Cover Crop,Hicks,Bgluc,2,195,195,195
Cover Crop,Hicks,BulkDensity,2,1.4335679799999999,1.41877083,1.44836513
Cover Crop,Hicks,CALC_SOC,2,2.724167195,2.72348755,2.72484684
Cover Crop,Hicks,CEC_ph7,2,18.68297275,18.0386273,19.3273182
Cover Crop,Hicks,Mehlich3_P,2,321.81129599999997,270.9574642,372.6651278
Cover Crop,Hicks,NewZ_P,2,30.5,27,34
Cover Crop,Hicks,ph_h20,2,5.81,5.61,6.01
Cover Crop,Hicks,Pom_C,2,0.6605063449999999,0.65355571,0.66745698
Cover Crop,Hicks,Pom_N,2,0.054599180000000004,0.05163533,0.05756303
Cover Crop,Hicks,Tot_N,2,0.312693615,0.30634679,0.31904044
Cover Crop,Hicks,Tot_P,2,11975.624495,10042.39584,13908.85315
Cover Crop,Hicks,WaterSol_P,2,1.10809905,0.9976694,1.2185287
No Cover Crop,Chenneby,AggStab,2,4.5,2,7
No Cover Crop,Chenneby,Bgluc,2,86,66,106
No Cover Crop,Chenneby,BulkDensity,2,1.4683241200000001,1.45504433,1.48160391
No Cover Crop,Chenneby,CALC_SOC,2,1.61733689,1.38877856,1.84589522
No Cover Crop,Chenneby,CEC_ph7,2,10.16415895,9.4277976,10.9005203
No Cover Crop,Chenneby,Mehlich3_P,2,134.79705475,125.8712041,143.7229054
No Cover Crop,Chenneby,NewZ_P,2,15,14,16
No Cover Crop,Chenneby,ph_h20,2,5.7299999999999995,5.33,6.13
No Cover Crop,Chenneby,Pom_C,2,0.26956111,0.21801,0.32111222
No Cover Crop,Chenneby,Pom_N,2,0.031059530000000002,0.026832,0.03528706
No Cover Crop,Chenneby,Tot_N,2,0.19253342,0.17207893,0.21298791
No Cover Crop,Chenneby,Tot_P,2,791.5187855,747.270985,835.766586
No Cover Crop,Chenneby,WaterSol_P,2,0.8224074,0.6468143,0.9980005
No Cover Crop,Hicks,AggStab,2,10,10,10
No Cover Crop,Hicks,Bgluc,2,66.5,35,98
No Cover Crop,Hicks,BulkDensity,2,1.417342395,1.38647963,1.44820516
No Cover Crop,Hicks,CALC_SOC,2,1.618455965,1.35365526,1.88325667
No Cover Crop,Hicks,CEC_ph7,2,13.85120335,13.6012102,14.1011965
No Cover Crop,Hicks,Mehlich3_P,2,121.11684,100.8423913,141.3912887
No Cover Crop,Hicks,NewZ_P,2,24.5,23,26
No Cover Crop,Hicks,ph_h20,2,5.84,5.35,6.33
No Cover Crop,Hicks,Pom_C,2,0.28166337500000005,0.15293971,0.41038704
No Cover Crop,Hicks,Pom_N,2,0.025362685000000003,0.01853815,0.03218722
No Cover Crop,Hicks,Tot_N,2,0.20890963,0.18368465,0.23413461
No Cover Crop,Hicks,Tot_P,2,2614.680665,2556.679099,2672.682231
No Cover Crop,Hicks,WaterSol_P,2,0.49830615,0.4219645,0.5746478
