"sampled_taxon_name","pedlabsampnum1","labsampnum1","correlated_taxon_name","user_pedon_id","user_site_id","latitude_decimal_degrees","longitude_decimal_degrees","hzn_top","hzn_bot","hzn_desgn","tex_psda","sand_tot_psa","silt_tot_psa","clay_tot_psa","co3_cly","silt_f_psa","silt_c_psa","sand_vf_psa","sand_f_psa","sand_m_psa","sand_vc_psa","sand_c_psa","wf_25","wf_520","wf_2075","wf_0175","wpg2","c_tot","n_tot","s_tot","oc","c_n_ra","base_sum","al_kcl","cec_nh4","ecec","al_sat","ca_nh4","mg_nh4","na_nh4","k_nh4","acid_tea","base_sum_calc","cec_sum","ESP_calc","ph_h2o","ph_cacl2","ph_naf","gypl20","caco3","ec_12pre","sar","na_exch","p_olsn","p_nz","NCSS_Layer_labsampnum","hzn_master","db_13b","db_od","COLEws","w15l2","w15cly","cec7_cly","wrd_ws13","LEP","w15bfm","w3cld","w10cld","final_oc","est_OM","Calc_Clay","basesat8_2","basesat7","abgll","abgpi","w3rec","w10l2","w5bl2","mlra_code","ssa_code","county_code","vf52","vf205","vf7520","vf25075","vf250u","vf752","wrd_l2","Major_Elements_labsampnum","Major_Elements_result_source_key","al_mjelm","ca_mjelm","fe_mjelm","k_mjelm","mg_mjelm","mn_mjelm","na_mjelm","p_mjelm","si_mjelm","sr_mjelm","ti_mjelm","zr_mjelm","Trace_Elements_Tier_1_result_source_key","Trace_Elements_Tier_1_prep_code","ag_trelm","as_trelm","ba_trelm","be_trelm","cd_trelm","co_trelm","cr_trelm","cu_trelm","hg_trelm","mn_trelm","mo_trelm","Trace_Elements_Tier_2_result_source_key","Trace_Elements_Tier_2_prep_code","ni_trelm","p_trelm","pb_trelm","sb_trelm","se_trelm","sn_trelm","sr_trelm","tl_trelm","v_trelm","w_trelm","zn_trelm"
"Paxton","00P0001","00P00001","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,0.00,5.00,,"l",51.70,39.70,8.60,,16.50,23.20,16.70,18.60,10.50,1.00,4.90,1.00,1.00,0.00,36.00,2.00,6.87,0.28,0.10,,24.00,6.20,0.70,13.50,6.90,10.00,4.30,1.10,0.40,0.40,14.60,6.19,20.80,3.00,4.80,4.50,,,,,,3.00,,,"00P00001",,,,,6.80,0.79,1.57,,,,,,6.86,11.84,,30.00,46.00,,,,,,"144A","NY061","NY061",1.00,1.00,0.00,0.00,0.00,1.00,,"00P00001",1,27500.00,2990.00,24346.00,10566.00,3551.00,358.00,7875.00,1162.00,288499.0,,3867.00,176.00,1,"S",,,,,,6.04,32.85,70.88,729.00,228.77,,1,"S",31.82,999.75,381.60,,,,,,,,116.08
"Paxton","00P0001","00P00001","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,0.00,5.00,,"l",51.70,39.70,8.60,,16.50,23.20,16.70,18.60,10.50,1.00,4.90,1.00,1.00,0.00,36.00,2.00,6.87,0.28,0.10,,24.00,6.20,0.70,13.50,6.90,10.00,4.30,1.10,0.40,0.40,14.60,6.19,20.80,3.00,4.80,4.50,,,,,,3.00,,,"00P00001",,,,,6.80,0.79,1.57,,,,,,6.86,11.84,,30.00,46.00,,,,,,"144A","NY061","NY061",1.00,1.00,0.00,0.00,0.00,1.00,,"00P00001",1,27500.00,2990.00,24346.00,10566.00,3551.00,358.00,7875.00,1162.00,288499.0,,3867.00,176.00,1,"S",,,,,,6.04,32.85,70.88,729.00,228.77,,1,"S",31.82,999.75,381.60,,,,,,,,116.08
"Paxton","00P0001","00P00002","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,5.00,12.00,"BA","l",48.70,41.90,9.40,,18.00,23.90,16.50,16.70,9.00,2.20,4.30,2.00,2.00,5.00,38.00,9.00,2.62,0.11,0.04,,23.00,1.70,1.80,7.30,3.50,51.00,1.10,0.30,0.20,0.10,10.10,1.70,11.80,2.73,4.70,4.20,,,,,,,,,"00P00002","BA",1.34,1.40,0.01,5.40,0.57,0.78,0.23,1.40,,23.50,,2.61,4.51,,14.00,23.00,,,,,,"144A","NY061","NY061",1.00,1.00,3.00,0.00,0.00,5.00,0.24,"00P00002",2,27908.00,2109.00,20599.00,10094.00,3220.00,332.00,7969.00,845.00,328369.0,,3690.00,170.00,2,"S",,,,,,6.52,25.09,46.13,666.00,283.61,,2,"S",20.89,875.69,221.15,,,,,,,,89.84
"Paxton","00P0001","00P00002","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,5.00,12.00,"BA","l",48.70,41.90,9.40,,18.00,23.90,16.50,16.70,9.00,2.20,4.30,2.00,2.00,5.00,38.00,9.00,2.62,0.11,0.04,,23.00,1.70,1.80,7.30,3.50,51.00,1.10,0.30,0.20,0.10,10.10,1.70,11.80,2.73,4.70,4.20,,,,,,,,,"00P00002","BA",1.34,1.40,0.01,5.40,0.57,0.78,0.23,1.40,,23.50,,2.61,4.51,,14.00,23.00,,,,,,"144A","NY061","NY061",1.00,1.00,3.00,0.00,0.00,5.00,0.24,"00P00002",2,27908.00,2109.00,20599.00,10094.00,3220.00,332.00,7969.00,845.00,328369.0,,3690.00,170.00,2,"S",,,,,,6.52,25.09,46.13,666.00,283.61,,2,"S",20.89,875.69,221.15,,,,,,,,89.84
"Paxton","00P0001","00P00002","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,5.00,12.00,"BA","l",48.70,41.90,9.40,,18.00,23.90,16.50,16.70,9.00,2.20,4.30,2.00,2.00,5.00,38.00,9.00,2.62,0.11,0.04,,23.00,1.70,1.80,7.30,3.50,51.00,1.10,0.30,0.20,0.10,10.10,1.70,11.80,2.73,4.70,4.20,,,,,,,,,"00P00002","BA",1.34,1.40,0.01,5.40,0.57,0.78,0.23,1.40,,23.50,,2.61,4.51,,14.00,23.00,,,,,,"144A","NY061","NY061",1.00,1.00,3.00,0.00,0.00,5.00,0.24,"00P00002",2,27908.00,2109.00,20599.00,10094.00,3220.00,332.00,7969.00,845.00,328369.0,,3690.00,170.00,2,"S",,,,,,6.52,25.09,46.13,666.00,283.61,,2,"S",20.89,875.69,221.15,,,,,,,,89.84
"Paxton","00P0001","00P00003","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,12.00,27.00,"Bw1","l",50.00,40.20,9.80,,17.70,22.50,16.10,17.90,9.50,2.10,4.40,3.00,3.00,3.00,40.00,9.00,2.00,0.09,0.03,,,0.90,1.90,4.40,2.80,68.00,0.50,0.10,0.20,0.10,8.30,0.89,9.20,4.54,4.50,4.00,,,,,,,,,"00P00003","B",1.44,1.47,7.0e-03,5.10,0.52,0.45,0.20,0.70,,19.70,,2.00,3.44,,10.00,20.00,,,,,,"144A","NY061","NY061",2.00,2.00,2.00,0.00,0.00,5.00,0.21,"00P00003",3,28874.00,2210.00,21913.00,11037.00,3466.00,326.00,8947.00,738.00,337517.0,,4033.00,176.00,3,"S",,,,,,6.42,22.73,27.54,534.00,250.33,,3,"S",18.49,732.26,146.17,,,,,,,,80.31
"Paxton","00P0001","00P00004","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,27.00,64.00,"Bw2","l",51.90,38.30,9.80,,16.20,22.10,16.00,17.30,11.10,1.80,5.70,2.00,2.00,9.00,44.00,13.00,0.86,0.05,0.02,,,1.10,1.60,5.00,2.70,59.00,0.60,0.10,0.30,0.10,6.40,1.10,7.50,6.00,4.80,4.10,,,,,,,,,"00P00004","B",1.47,1.49,4.0e-03,4.50,0.46,0.51,0.18,0.40,,17.80,,0.86,1.48,,15.00,22.00,,,,,,"144A","NY061","NY061",1.00,1.00,5.00,0.00,0.00,8.00,0.20,"00P00004",4,29026.00,1982.00,22078.00,11648.00,3590.00,336.00,8790.00,533.00,350254.0,,4078.00,178.00,4,"S",,,,,,6.24,20.43,16.16,292.00,234.18,,4,"S",17.57,470.98,68.73,,,,,,,,82.05
"Paxton","00P0001","00P00005","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,64.00,86.00,"2BC","sl",67.30,22.80,9.90,,11.10,11.70,10.40,20.30,20.60,5.10,10.90,7.00,3.00,1.00,62.00,11.00,0.22,0.01,0.02,,,1.30,1.20,3.70,2.50,48.00,0.90,0.20,0.20,0.00,5.10,1.29,6.40,5.40,4.90,4.20,,,0.00,,,,,,"00P00005","C",1.68,1.72,7.0e-03,4.80,0.48,0.37,0.13,0.70,,13.40,,0.22,0.37,11.45,20.00,35.00,,,,,,"144A","NY061","NY061",5.00,2.00,1.00,0.00,0.00,7.00,0.14,"00P00005",5,33307.00,2235.00,25231.00,13045.00,4248.00,413.00,7851.00,313.00,352928.0,,3087.00,96.00,5,"S",,,,,,6.66,25.09,16.33,60.00,325.73,,5,"S",21.51,316.87,17.29,,,,,,,,86.56
"Paxton","00P0001","00P00006","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,86.00,111.00,"2Cd1","sl",64.20,30.50,5.30,,15.20,15.30,13.30,20.80,15.10,3.70,11.30,7.00,5.00,2.00,58.00,14.00,0.06,7.0e-03,0.01,,,1.30,1.00,3.70,2.30,43.00,0.90,0.20,0.20,0.00,3.20,1.29,4.50,5.40,4.90,4.20,,,0.00,,,,,,"00P00006","C",1.81,1.84,5.0e-03,3.10,0.58,0.70,0.13,0.49,,10.90,,0.06,0.10,7.59,29.00,35.00,,,,,,"144A","NY061","NY061",5.00,4.00,1.00,0.00,0.00,10.00,0.14,"00P00006",6,35273.00,2808.00,23312.00,15735.00,4800.00,558.00,9346.00,305.00,356514.0,,3414.00,130.00,6,"S",,,,,,8.00,23.06,18.16,20.00,526.54,,6,"S",20.52,312.34,9.37,,,,,,,,73.40
"Paxton","00P0001","00P00007","Paxton","S1999NY061001","S1999NY061001",40.76,-73.97,111.00,157.00,"2Cd2","fsl",69.80,25.20,5.00,,12.70,12.50,14.20,27.30,14.50,5.30,8.50,5.00,5.00,3.00,61.00,13.00,0.05,0.01,0.01,,,1.30,0.90,2.10,2.20,41.00,0.90,0.20,0.20,0.00,3.20,1.29,4.50,9.52,4.90,4.10,,,0.00,,,,,,"00P00007","C",1.74,1.77,5.0e-03,3.10,0.62,0.42,0.16,0.49,,13.00,,0.05,0.08,7.62,29.00,62.00,,,,,,"144A","NY061","NY061",3.00,3.00,2.00,0.00,0.00,9.00,0.17,"00P00007",7,34978.00,3133.00,21821.00,15713.00,4619.00,566.00,9311.00,325.00,359133.0,,3113.00,103.00,7,"S",,,,,,7.99,21.64,18.29,10.00,569.20,,7,"S",19.50,315.11,8.19,,,,,,,,66.01
