pedon_key,pedon_id,sampled_name,layer_key,layer_sequence,hzn_top,hzn_bot,hzn_desgn,texture,sand_tot,silt_tot,clay_tot,db_satiated,oc,oc_qc
07N0032,S2006CT011002,Wequetequock,07N00167,1,0,20,Ag,sil,28.9,50.8,20.3,0.15,5.38,mineral
07N0032,S2006CT011002,Wequetequock,07N00168,2,20,32,ACg,l,41.2,43.1,15.7,0.23,4.4,mineral
07N0032,S2006CT011002,Wequetequock,07N00169,3,32,57,Cg,sil,29.9,55.5,14.6,0.27,4.08,mineral
07N0032,S2006CT011002,Wequetequock,07N00170,4,57,72,2Oab1,muck,,,,0.13,16.15,organic
07N0032,S2006CT011002,Wequetequock,07N00171,5,72,99,3Cgb1,sl,63.7,29.6,6.7,0.45,2.63,mineral
07N0032,S2006CT011002,Wequetequock,07N00172,6,99,134,3Cgb2,ls,74.6,22.7,2.7,0.8,0.18,mineral
07N0032,S2006CT011002,Wequetequock,07N00173,7,134,144,3Cgb3,sl,54.8,39.2,6,0.77,0.19,mineral
07N0032,S2006CT011002,Wequetequock,07N00174,8,144,152,3Cgb4,cosl,62.6,32.5,4.9,0.78,0.12,mineral
07N0034,S06CT011004,Wamphassuc,07N00180,1,0,15,Ag,sil,30,52.9,17.1,0.17,5.3,mineral
07N0034,S06CT011004,Wamphassuc,07N00181,2,15,27,ACg1,sil,29.2,53.3,17.5,0.18,4.93,mineral
07N0034,S06CT011004,Wamphassuc,07N00182,3,27,39,ACg2,sil,29.7,55.6,14.7,0.3,4.29,mineral
07N0034,S06CT011004,Wamphassuc,07N00183,4,39,78,Cg1,sil,17.9,63.2,18.9,0.27,4.22,mineral
07N0034,S06CT011004,Wamphassuc,07N00184,5,78,91,Cg2,sl,60.7,32.4,6.9,0.53,2.41,mineral
07N0034,S06CT011004,Wamphassuc,07N00185,6,91,112,Cg3,fsl,54.8,39.3,5.9,0.62,1.37,mineral
07N0034,S06CT011004,Wamphassuc,07N00186,7,112,122,Cg4,sl,67.1,27,5.9,0.61,0.79,mineral
07N0034,S06CT011004,Wamphassuc,07N00187,8,122,140,2Cg,lcos,83.9,13.8,2.3,0.52,0.62,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00215,1,0,27,Cg1,cos,97,2.6,0.4,1.9,0.13,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00216,2,27,35,Cg2,s,97.2,2.7,0.1,1.46,0.14,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00217,3,35,46,Cg3,s,98,2,0,1.86,0.1,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00218,4,46,63,Cg4,s,97.2,2.8,0,2.11,0.12,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00219,5,63,72,Cgb5,ls,82.5,15.2,2.3,2.33,0.48,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00220,6,72,80,Cg6,cos,91,7.4,1.6,1.88,0.28,mineral
07N0038,S2006CT011007,Rhodesfolly,07N00221,7,80,98,Cg7,cos,93.4,4.6,2,2.28,0.3,mineral
07N0039,S06CT011008,Bay bottom,07N00222,1,0,2,Ag,lcos,81.7,16.5,1.8,2.6,0.83,mineral
07N0039,S06CT011008,Bay bottom,07N00223,2,2,12,Cg1,lcos,84.9,13.2,1.9,1.45,0.91,mineral
07N0039,S06CT011008,Bay bottom,07N00224,3,12,18,Cg2,cos,86.3,12,1.7,1.34,0.75,mineral
07N0039,S06CT011008,Bay bottom,07N00225,4,18,28,Cg3,lcos,75.3,21.7,3,1.39,0.72,mineral
07N0039,S06CT011008,Bay bottom,07N00226,5,28,32,Cg4,cosl,68.7,27.6,3.7,1.48,0.52,mineral
07N0040,S2006CT011009,Fort Neck,07N00227,1,0,8,Ag,sl,49.8,44.4,5.8,0.61,3.66,mineral
