lab_sample_num, drainage_cl
96P0380,well
97P0507,well
01P0174,well
M9561341,well
01P0056,
01P0056,
01N0093,somewhat excessively
01N0093,somewhat excessively
01N0094,somewhat excessively
01N0094,somewhat excessively
01N0095,somewhat excessively
01N0095,somewhat excessively
01N0096,
01N0096,
40A5404,well
40A5404,well
40A1232,well
40A1232,well
40A1233,somewhat excessively
40A1233,somewhat excessively
40A1234,excessively
40A1234,excessively
40A5408,
40A5408,
40A5409,
93P0717,well
93P0717,well
93P0718,well
93P0718,well
97P0102,
97P0102,
40A1237,well
40A1237,well
40A1238,well
40A1238,well
40A1239,well
40A1239,well
40A1240,well
40A1240,well
40A1241,well
40A1241,well
40A5405,well
40A5406,well
40A5406,well
40A5407,somewhat excessively
40A5407,somewhat excessively
40A5410,moderately well
40A5410,moderately well
93P0271,somewhat excessively
93P0271,somewhat excessively
93P0272,
93P0272,
93P0273,poorly
93P0274,somewhat poorly
93P0275,
93P0275,
93P0276,well
93P0277,well
93P0277,well
93P0278,somewhat poorly
93P0279,moderately well
93P0279,moderately well
93P0280,
93P0281,
93P0282,poorly
95P0542,moderately well
95P0543,well
95P0543,well
95P0544,moderately well
95P0544,moderately well
95P0545,well
95P0545,well
95P0546,poorly
95P0547,moderately well
95P0547,moderately well
95P0548,poorly
95P0549,moderately well
95P0549,moderately well
93P0283,
93P0284,
93P0285,very poorly
93P0286,
40A0429,excessively
40A0429,excessively
40A0430,excessively
40A0430,excessively
40A0452,well
40A0453,well
40A0453,well
40A0422,moderately well
40A0422,moderately well
40A0423,moderately well
40A0439,well
40A0440,well
40A0206,well
40A0450,well
40A1290,
40A1291,
40A0428,moderately well
40A0428,moderately well
40A0447,moderately well
40A0447,moderately well
40A0507,well
40A0507,well
40A0508,excessively
40A0508,excessively
40A0509,excessively
40A0509,excessively
40A0510,excessively
40A0510,excessively
40A0511,excessively
40A0511,excessively
40A0512,well
40A0512,well
40A4184,very poorly
40A4184,very poorly
40A4185,poorly
40A4185,poorly
40A4186,very poorly
40A4186,very poorly
40A4187,very poorly
40A4187,very poorly
40A4188,
40A4188,
40A0503,excessively
40A0503,excessively
40A0504,well
40A0504,well
40A0505,well
40A0505,well
40A0506,excessively
40A0506,excessively
40A0441,
40A0441,
40A0435,excessively
40A0435,excessively
40A0436,excessively
40A0436,excessively
40A0443,
40A0443,
40A0444,
40A0444,
40A0433,
40A0433,
40A0434,
40A0434,
40A0454,well
40A0454,well
40A0455,well
40A0455,well
40A0456,well
40A0456,well
40A1227,somewhat poorly
40A1227,somewhat poorly
40A1228,
40A1228,
40A1229,excessively
40A1229,excessively
40A1230,
40A1230,
93P0699,well
93P0699,well
93P0700,well
93P0701,well
93P0702,well
93P0702,well
93P0703,well
95P0916,well
95P0917,excessively
