smp id,Dupl,area code,taxonomic order,horz desgn master,lay depth to top,lay depth to bottom,MGMT_lable,Measured Active Carbon,pH,Clay,Sand,Silt,Est Org C,Total Carbon
64511,U,PR,ultisols,A,0,5,,1182,4.7,47.0,23.9,29.1,,2.8
64512,U,PR,ultisols,AB,5,12,,887,4.7,48.2,22.6,29.2,,3.1
64521,U,PR,ultisols,A,0,10,,1295,5.8,42.4,21.7,35.9,,2.5
64522,U,PR,ultisols,A,10,40,,402,5.5,44.6,21.4,34.0,,1.5
64544,U,PR,inceptisols,A,0,10,,1207,6.6,58.7,5.5,35.8,,3.9
64545,U,PR,inceptisols,A,10,28,,602,7.2,56.7,8.3,35.0,,1.5
64550,U,PR,inceptisols,A,114,150,,459,8.0,72.0,4.5,23.5,,1.5
64554,U,PR,mollisols,A,0,15,,1388,6.1,84.1,2.1,13.8,,7.8
64553,U,PR,mollisols,O,2,0,,13544,6.0,,,,,27.1
64553,U,PR,mollisols,O,2,0,,13544,5.9,,,,,27.1
86905,U,UT,Aridisols,A,0,7,R,254,8.2,8.8,61.8,29.4,0.4012,1.4
86913,U,UT,Aridisols,A,0,9,R,289,8.0,5.2,76.4,18.4,0.4916,0.6
87230,U,UT,Aridisols,A,0,2,R,472,8.0,8.7,61.7,29.6,0.9724,2.0
87231,U,UT,Aridisols,A,2,7,R,181,8.3,9.2,61.8,29.0,0.3428,1.3
87233,U,UT,Aridisols,A,0,2,R,253,7.9,4.1,79.8,16.1,0.662,0.8
87234,U,UT,Aridisols,A,2,9,R,181,8.2,6.8,76.6,16.6,0.2856,0.5
87236,U,UT,Aridisols,A,0,2,R,217,7.8,3.7,80.4,15.9,0.5388,0.6
87237,U,UT,Aridisols,A,2,9,R,145,8.3,8.2,75.2,16.6,0.218,0.4
87239,U,UT,Aridisols,A,0,2,R,435,7.8,6.6,69.9,23.5,0.9492,1.8
87240,U,UT,Aridisols,A,2,7,R,145,8.3,9.0,64.2,26.8,0.544,1.5
87242,U,UT,Aridisols,A,0,2,R,435,8.0,9.7,55.3,35.0,0.764,1.8
87243,U,UT,Aridisols,A,2,8,R,182,8.5,12.9,57.1,30.0,0.3496,1.4
87245,U,UT,Aridisols,A,0,2,R,217,8.3,9.0,62.7,28.3,0.4456,1.4
87246,U,UT,Aridisols,A,2,6,R,145,8.5,11.2,60.0,28.8,0.3056,1.2
87248,U,UT,Aridisols,A,0,2,R,180,8.1,4.5,84.9,10.6,0.3012,0.6
87249,U,UT,Aridisols,A,2,8,R,108,8.5,5.5,86.3,8.2,0.1452,0.5
87251,U,UT,Aridisols,A,0,2,R,651,7.8,2.1,88.9,9.0,2.388,2.6
87252,U,UT,Aridisols,A,2,9,R,180,8.5,4.8,86.4,8.8,0.2012,0.5
87254,U,UT,Aridisols,A,0,2,R,397,7.9,2.9,85.9,11.2,0.4944,0.8
87255,U,UT,Aridisols,A,2,8,R,216,8.4,3.7,86.7,9.6,0.2132,0.5
87257,U,UT,Aridisols,A,0,2,R,578,7.8,3.1,85.6,11.3,0.8628,1.1
87258,U,UT,Aridisols,A,2,6,R,253,8.3,3.1,87.0,9.9,0.4144,0.7
87260,U,UT,Aridisols,A,0,2,R,542,7.7,3.1,85.2,11.7,0.7008,0.9
87261,U,UT,Aridisols,A,2,5,R,397,8.1,3.6,86.1,10.3,0.328,0.6
87264,U,UT,Aridisols,A,0,2,R,325,8.0,3.5,87.2,9.3,0.714,0.9
87263,U,UT,Aridisols,A,2,5,R,144,8.4,3.9,85.8,10.3,0.1628,0.5
88186,U,UT,Aridisols,A,0,2,R,687,7.7,4.9,80.7,14.4,1.5028,1.7
88187,U,UT,Aridisols,A,2,5,R,253,8.5,4.5,82.8,12.7,0.2996,0.9
88189,U,UT,Aridisols,A,0,2,R,542,7.9,4.3,87.9,7.8,0.774,1.3
88190,U,UT,Aridisols,A,2,7,R,325,8.4,4.0,88.1,7.9,0.3232,0.9
88193,U,UT,Aridisols,A,0,2,R,397,8.5,4.8,83.8,11.4,0.2784,0.8
88192,U,UT,Aridisols,A,2,8,R,289,8.0,5.9,79.7,14.4,0.5148,0.9
88195,U,UT,Aridisols,A,0,2,R,506,8.0,5.4,83.4,11.2,0.654,1.1
88196,U,UT,Aridisols,A,2,6,R,253,8.4,6.4,76.1,17.5,0.424,1.0
88198,U,UT,Aridisols,A,0,2,R,289,8.0,6.0,83.2,10.8,0.508,0.8
88199,U,UT,Aridisols,A,2,9,R,181,8.5,10.5,79.9,9.6,0.2172,0.6
88201,U,UT,Aridisols,A,0,2,R,397,8.2,6.2,84.7,9.1,0.4628,0.7
88202,U,UT,Aridisols,A,2,8,R,253,8.5,8.5,81.1,10.4,0.3016,0.6
88204,U,UT,Aridisols,A,0,2,R,361,8.2,4.9,87.4,7.7,1.0352,1.3
88205,U,UT,Aridisols,A,2,8,R,289,8.5,6.1,85.7,8.2,0.3392,0.6
88207,U,UT,Aridisols,A,0,2,R,434,8.3,7.3,83.0,9.7,0.6896,1.0
88208,U,UT,Aridisols,A,2,9,R,217,8.5,9.9,80.6,9.5,0.2156,0.6
88210,U,UT,Aridisols,A,0,2,R,325,8.2,6.2,84.3,9.5,0.3968,0.7
88211,U,UT,Aridisols,A,2,5,R,217,8.4,6.8,82.9,10.3,0.2336,0.5
88213,U,UT,Aridisols,A,0,2,R,614,7.7,3.7,86.5,9.8,0.6324,0.9
88214,U,UT,Aridisols,A,2,6,R,289,8.3,7.0,83.0,10.0,0.4048,0.8
88216,U,UT,Aridisols,A,0,2,R,433,8.2,4.2,85.0,10.8,0.6176,0.9
88217,U,UT,Aridisols,A,2,7,R,253,8.6,6.9,83.8,9.3,0.2348,0.6
88219,U,UT,Aridisols,A,0,2,R,397,8.1,6.8,82.7,10.5,0.5184,0.8
88222,U,UT,Aridisols,A,0,2,R,398,8.2,9.2,78.5,12.3,0.4296,0.8
88223,U,UT,Aridisols,A,2,7,R,217,8.6,10.5,77.8,11.7,0.2636,0.7
88225,U,UT,Aridisols,A,0,2,R,469,8.2,4.1,84.7,11.2,0.618,0.9
88226,U,UT,Aridisols,A,2,7,R,253,8.6,5.9,82.9,11.2,0.2596,0.6
88228,U,UT,Aridisols,A,0,2,R,578,8.0,3.5,84.3,12.2,0.4928,0.8
88229,U,UT,Aridisols,A,2,5,R,289,8.4,3.2,86.9,9.9,0.1948,0.6
