PUBLICATION_DATE,UID,AA_CENTER_LAT,AA_CENTER_LON,AGGR_ECO3_2015,AGGR_ECO3_NM_2015,AGGR_ECO9_2015,AGGR_ECO9_NM_2015,ANALYSIS_LAT,ANALYSIS_LON,CLASS_DESIGN_FWSST,CLASS_FIELD_FWSST,CLASS_FIELD_HGM,COE_REGION,COE_SUBREG,COUNTY,DATE_COL,DESIGN_ID,ECO_X_ST,ECO_X_WETGRP,EPA_REG,FED_NONFED,FIP,HUC10,HUC10_NAME,LRR_NAME,LRRSYM,MAJ_RIVER_BASIN,MDCATY,MLRA_ID,MLRA_NAME,NEP_AREA,NEP_NAME,NWCA_ECO4,NWCA_WET_GRP,PAD_AREA,PAD_NAME,PAD_OWN_NAME,PAD_OWN_TYPE,PANEL,PH2_WGTCAT,PHYS_REG,REF_NWCA,REFPLUS_NWCA,SANDT_COAST_REG,SANDT_FIELD_GRPS,SANDT_RSTUDY,SITE_ID,SITE_USE,SITESAMP,ST_FIP,STATE,STATE_NAME,STATUS_11,STRATUM,TNT_11,US_L3CODE_2015,US_L3NAME_2015,US_L4CODE_2015,US_L4NAME_2015,USAC_REGION,VALXSITE,VISIT_NO,WGT_11,WGT_PH1_11,WGT_PH2_11,XCOORD,XSTATUS,YCOORD,SAMPLE_TYPE
8/13/2015,2610,30.15119,-85.04415,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,30.15089533,-85.04427656,PSS,PEM,FLATS,Atlantic and Gulf Coastal Plain,"LRR T (MLRA 152A, 152B, 153A)",Liberty,3-May-11,NWCA11-1240,CPL-PH,CPL-PRLH,4,Non Federal,12077,313001106,River Styx,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,PSS,259,Eastern Gulf Coast Flatwoods,NO,,CPL,PRLH,YES,Apalachicola River and Bay SWIM Area,State Department of Environment,State,Base,FL,13,M,M,Gulf Coast Region,PH,Coastal Watersheds,NWCA11-1240,NWCA_PROBABILITY,YES,12,FL,Florida,Target_Sampled,FL,Target,75,Southern Coastal Plain,75a,Gulf Coast Flatwoods,CSTL_PLAIN,PEM,1,62108.80868,30.83405,2014.29307,1051679.011,RELOCATED_POINT_SAMPLEABLE,-759975.991,SITEINFO
8/13/2015,2611,32.5344469,-80.45276742,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.5344469,-80.45276742,E2EM,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Colleton,18-Apr-11,NWCA11-2426,E2EM,ALL-EH,4,NOAA,45029,305020710,Lower Ashepoo River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2EM,262,Tidewater Area,NO,,CPL,EH,YES,Ashepoo-Combahee-Edisto (ACE) Basin National Estuarine Research Reserve,State Department of Natural Resources,Jointly Owned,Base,SC,36,L,MIN,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2426,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2EM,1,27088.86311,18.68253,1449.95679,1445883.765,POINT_SAMPLEABLE,-436893.785,SITEINFO
8/13/2015,2668,28.6982345,-80.741909,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,28.6982345,-80.741909,PEM,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR U,Brevard,12-May-11,NWCA11-1266,E2EM,ALL-EH,4,FWS,12009,308020203,Indian River Lagoon,"Florida Subtropical Fruit, Truck Crop, and Range Region",U,South Atlantic Gulf,PEM,266,Southern Florida Flatwoods,YES,Indian River Lagoon,CPL,EH,YES,Merritt Island National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Base,FL,36,M,M,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-1266,NWCA_PROBABILITY,YES,12,FL,Florida,Target_Sampled,FL,Target,75,Southern Coastal Plain,75d,Eastern Florida Flatwoods,CSTL_PLAIN,E2EM,1,38442.75645,13.592,2828.33674,1487365.818,POINT_SAMPLEABLE,-861991.213,SITEINFO
8/13/2015,2669,29.66114,-81.7658,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,29.66114007,-81.76579873,PFO,PFO,FLATS,Atlantic and Gulf Coastal Plain,LRR U,Putnam,29-Apr-11,NWCA11-1304,CPL-PW,CPL-PRLW,4,Non Federal,12107,308010306,Rice Creek-St. Johns River,"Florida Subtropical Fruit, Truck Crop, and Range Region",U,South Atlantic Gulf,PFO,265,South-Central Florida Ridge,NO,,CPL,PRLW,YES,Rice Creek Conservation Area,Regional Water Districts,Regional Agency,OverSamp,FL,13,M,M,South East Coast Region,PW,Coastal Watersheds,NWCA11-1304,NWCA_PROBABILITY,YES,12,FL,Florida,Target_Sampled,FL,Target,75,Southern Coastal Plain,75d,Eastern Florida Flatwoods,CSTL_PLAIN,PFO,1,196067.7775,30.83405,6358.80762,1372416.78,RELOCATED_POINT_SAMPLEABLE,-772027.082,SITEINFO
8/13/2015,2672,28.2749,-80.726257,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,28.27577,-80.7264533,PUBPAB,PEM,DPRSS,Atlantic and Gulf Coastal Plain,LRR U,Brevard,13-May-11,NWCA11-1299,CPL-PH,CPL-PRLH,4,Non Federal,12009,308010107,Lake Winder-St. Johns River,"Florida Subtropical Fruit, Truck Crop, and Range Region",U,South Atlantic Gulf,PUBPAB,266,Southern Florida Flatwoods,NO,,CPL,PRLH,NO,,,,Base,FL,13,I,I,South East Coast Region,PH,Coastal Watersheds,NWCA11-1299,NWCA_PROBABILITY,YES,12,FL,Florida,Target_Sampled,FL,Target,75,Southern Coastal Plain,75d,Eastern Florida Flatwoods,CSTL_PLAIN,PEM,1,10505.93872,30.83405,340.72525,1496334.433,RELOCATED_POINT_SAMPLEABLE,-907857.919,SITEINFO
8/13/2015,2750,32.39981,-80.65882,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.39959155,-80.65901056,E2EM,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Beaufort,13-Apr-11,NWCA11-2418,E2EM,ALL-EH,4,Non Federal,45013,305020805,Beaufort River-Atlantic Intracoastal Waterway,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2EM,262,Tidewater Area,NO,,CPL,EH,NO,,,,Base,SC,36,I,I,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2418,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2EM,1,27088.86311,18.68253,1449.95679,1429288.224,RELOCATED_POINT_SAMPLEABLE,-454852.916,SITEINFO
8/13/2015,2752,34.18050366,-79.54721339,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,34.18050366,-79.54721339,PFO,PFO,DPRSS,Atlantic and Gulf Coastal Plain,LRR P,Marion,11-May-11,NWCA11-2432,CPL-PW,CPL-PRLW,4,Non Federal,45067,304020110,Tobys Creek-Great Pee Dee River,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region",P,South Atlantic Gulf,PFO,234,Southern Coastal Plain,NO,,CPL,PRLW,NO,,,,Base,SC,13,I,I,South East Coast Region,PW,Coastal Watersheds,NWCA11-2432,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,65,Southeastern Plains,65p,Southeastern Floodplains and Low Terraces,CSTL_PLAIN,PFO,1,192119.1162,43.23596,4443.5029,1497619.034,POINT_SAMPLEABLE,-241671.02,SITEINFO
8/13/2015,2769,32.62069,-80.22092,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.6200848,-80.22069279,PUBPAB,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Charleston,16-May-11,NWCA11-2407,E2EM,ALL-EH,4,Non Federal,45019,305020604,North Edisto River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,PUBPAB,262,Tidewater Area,NO,,CPL,EH,NO,,,,Base,SC,36,I,I,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2407,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2EM,1,12015.07292,18.68253,643.11804,1465690.777,RELOCATED_POINT_SAMPLEABLE,-423917.128,SITEINFO
8/13/2015,2776,30.27774675,-87.74473955,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,30.27774675,-87.74473955,E2SS,PSS,FLATS,Atlantic and Gulf Coastal Plain,"LRR T (MLRA 152A, 152B, 153A)",Baldwin,24-May-11,NWCA11-1006,CPL-PW,CPL-PRLW,4,FWS,1003,316020502,Fish River-Frontal Mobile Bay,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,259,Eastern Gulf Coast Flatwoods,YES,Mobile Bay,CPL,PRLW,YES,Bon Secour National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Base,AL,36,I,I,Gulf Coast Region,PW,Coastal Watersheds,NWCA11-1006,NWCA_PROBABILITY,YES,1,AL,Alabama,Target_Sampled,AL,Target,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,CSTL_PLAIN,PSS,1,223.79307,8.11398,27.58119,791989.636,POINT_SAMPLEABLE,-772159.478,SITEINFO
8/13/2015,2791,32.39326,-80.66386,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.39303529,-80.6638329,E2SS,E2EM,FLATS,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Beaufort,9-May-11,NWCA11-2434,E2EM,ALL-EH,4,Non Federal,45013,305020805,Beaufort River-Atlantic Intracoastal Waterway,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,262,Tidewater Area,NO,,CPL,EH,NO,,,,Base,SC,36,I,I,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2434,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2SS,1,239.97439,18.68253,12.84485,1428960.297,POINT_SAMPLEABLE,-455646.92,SITEINFO
