samp,Pedon,Order,top,bottom,Model_desg,M,Hzn_avg,Thick,Texture,SAND,SILT,CLAY,SOC,BD,Model,Measured,SITE_PIT_VISIT,UID,DATE_COL,SITE_ID,SITE_USE,VISIT_NO,PIT,REP_PIT,LAYER,HORIZON,TOP,BOTTOM,SANDY,LOAMY,MK_MIN,ORGANIC,ROCK_FRAGMENTS,TEXTURE_CLASS,Bulk.Density,SOCd,SOC_5,SOC_30,SOC_100,SOCden,SOCstock5,SOCstock30,SOCstock100
2812-1,2812,1,0,9,Oa,O,4.5,9,M,NA,NA,NA,23.88,0.2,0.402720261,0.2,NWCA11-1002_C_1,2812,26-May-11,NWCA11-1002,NWCA_PROBABILITY,1,C,Y,1,Oa,0,9,,,,M,0,MUCK,0.2,4.776,5,9,9,4.776,2.388,4.2984,4.2984
2812-2,2812,2,9,23,A,A,16,14,cl,29.7,30.9,39.4,5.49,0.74,0.843122222,0.74,NWCA11-1002_C_1,2812,26-May-11,NWCA11-1002,NWCA_PROBABILITY,1,C,Y,2,A,9,23,,,Y,,0,CL,0.74,4.0626,0,14,14,4.0626,0,5.68764,5.68764
2812-3,2812,3,23,42,C,C,32.5,19,s,87.2,9,3.8,0.21,1.74,1.091164444,1.74,NWCA11-1002_C_1,2812,26-May-11,NWCA11-1002,NWCA_PROBABILITY,1,C,Y,3,Cg1,23,42,Y,,,,0,S,1.74,0.3654,0,7,19,0.3654,0,0.25578,0.69426
2812-4,2812,4,42,65,C,C,53.5,23,ls,85.4,8,6.6,0.28,1.78,1.125017778,1.78,NWCA11-1002_C_1,2812,26-May-11,NWCA11-1002,NWCA_PROBABILITY,1,C,Y,4,Cg2,42,65,Y,,,,0,LS,1.78,0.4984,0,0,23,0.4984,0,0,1.14632
2812-5,2812,5,65,125,AB,A,95,60,ls,86.6,7.6,5.8,0.31,NA,1.074706667,NA,NWCA11-1002_C_1,2812,26-May-11,NWCA11-1002,NWCA_PROBABILITY,1,C,Y,5,Ab,65,125,Y,,,,0,LS,1.074706667,0.333159067,0,0,35,0.333159067,0,0,1.166056733
3473-1,3473,1,0,5,Oa,O,2.5,5,NA,NA,NA,NA,NA,NA,0.88198,NA,NWCA11-1002_C_2,3473,21-Jun-11,NWCA11-1002,NWCA_REVISITS,2,C,Y,1,Oa,0,5,,,,M,0,NA,0.88198,NA,5,5,5,NA,NA,NA,NA
3473-2,3473,2,5,18,A,A,11.5,13,scl,56.6,20.1,23.3,3.59,1.31,0.91132,1.31,NWCA11-1002_C_2,3473,21-Jun-11,NWCA11-1002,NWCA_REVISITS,2,C,Y,2,A,5,18,,,Y,,0,SCL,1.31,4.7029,0,13,13,4.7029,0,6.11377,6.11377
3473-3,3473,3,18,41,E,E,29.5,23,s,87,9.2,3.8,0.17,1.78,1.107595556,1.78,NWCA11-1002_C_2,3473,21-Jun-11,NWCA11-1002,NWCA_REVISITS,2,C,Y,3,E,18,41,Y,,,,0,S,1.78,0.3026,0,12,23,0.3026,0,0.36312,0.69598
3473-4,3473,4,41,62,C,C,51.5,21,ls,85.4,8,6.6,0.23,1.91,1.122855556,1.91,NWCA11-1002_C_2,3473,21-Jun-11,NWCA11-1002,NWCA_REVISITS,2,C,Y,4,Cg1,41,62,Y,,,,0,LS,1.91,0.4393,0,0,21,0.4393,0,0,0.92253
3473-5,3473,5,62,100,C,C,81,38,ls,86.5,7.3,6.2,0.23,NA,1.156066667,NA,NWCA11-1002_C_2,3473,21-Jun-11,NWCA11-1002,NWCA_REVISITS,2,C,Y,5,Cg2,62,100,Y,,,,0,LS,1.156066667,0.265895333,0,0,38,0.265895333,0,0,1.010402267
3955-1,3955,1,0,23,A,A,11.5,23,sl,68.1,24.4,7.5,1.58,1.1,0.948357778,1.1,NWCA11-1003_D_1,3955,19-Jul-11,NWCA11-1003,NWCA_PROBABILITY,1,D,Y,1,Ag,0,23,,Y,,,0,SL,1.1,1.738,5,23,23,1.738,0.869,3.9974,3.9974
3955-2,3955,2,23,37,Bt,B,30,14,sl,65.6,25.1,9.3,0.32,1.5,1.032173333,1.5,NWCA11-1003_D_1,3955,19-Jul-11,NWCA11-1003,NWCA_PROBABILITY,1,D,Y,2,Btg1,23,37,,Y,,,0,SL,1.5,0.48,0,7,14,0.48,0,0.336,0.672
3955-3,3955,3,37,65,Bt,B,51,28,sl,63.5,26.1,10.4,0.1,1.43,1.008366667,1.43,NWCA11-1003_D_1,3955,19-Jul-11,NWCA11-1003,NWCA_PROBABILITY,1,D,Y,3,Btg2,37,65,,Y,,,0,SL,1.43,0.143,0,0,28,0.143,0,0,0.4004
3955-4,3955,4,65,128,C,C,96.5,63,sl,58.2,24.5,17.3,0.1,NA,1.025975556,NA,NWCA11-1003_D_1,3955,19-Jul-11,NWCA11-1003,NWCA_PROBABILITY,1,D,Y,4,Cg,65,128,,Y,,,0,SL,1.025975556,0.102597556,0,0,35,0.102597556,0,0,0.359091444
3796-1,3796,1,0,7,A,A,3.5,7,NA,NA,NA,NA,NA,NA,1.040633333,NA,NWCA11-1003_D_2,3796,23-Aug-11,NWCA11-1003,NWCA_REVISITS,2,D,Y,1,A1,0,7,,Y,,,0,NA,1.040633333,NA,5,7,7,NA,NA,NA,NA
3796-2,3796,2,7,21,A,A,14,14,sl,63.9,26.8,9.3,0.69,1.42,1.011886667,1.42,NWCA11-1003_D_2,3796,23-Aug-11,NWCA11-1003,NWCA_REVISITS,2,D,Y,2,A2,7,21,,Y,,,0,SL,1.42,0.9798,0,14,14,0.9798,0,1.37172,1.37172
3796-3,3796,3,21,40,C,C,30.5,19,sl,63.6,27.2,9.2,0.15,1.53,1.005904444,1.53,NWCA11-1003_D_2,3796,23-Aug-11,NWCA11-1003,NWCA_REVISITS,2,D,Y,3,C,21,40,,Y,,,0,SL,1.53,0.2295,0,9,19,0.2295,0,0.20655,0.43605
3796-4,3796,4,40,99,C,C,69.5,59,sl,62.7,25.8,11.5,0.1,1.65,1.002828889,1.65,NWCA11-1003_D_2,3796,23-Aug-11,NWCA11-1003,NWCA_REVISITS,2,D,Y,4,Cg1,40,99,,Y,,,0,SL,1.65,0.165,0,0,59,0.165,0,0,0.9735
3796-5,3796,5,99,125,C,C,112,26,scl,57.1,21.2,21.7,0.16,NA,1.040255556,NA,NWCA11-1003_D_2,3796,23-Aug-11,NWCA11-1003,NWCA_REVISITS,2,D,Y,5,Cg2,99,125,,Y,,,0,SCL,1.040255556,0.166440889,0,0,1,0.166440889,0,0,0.016644089
3981-1,3981,1,0,16,Oa,O,8,16,M,NA,NA,NA,32.4,0.04,0.11844,0.04,NWCA11-1005_B_1,3981,12-Sep-11,NWCA11-1005,NWCA_PROBABILITY,1,B,Y,1,Oa1,0,16,,,,M,0,MUCK,0.04,1.296,5,16,16,1.296,0.648,2.0736,2.0736
3981-2,3981,2,16,45,Oa,O,30.5,29,M,NA,NA,NA,31.2,0.09,0.135933333,0.09,NWCA11-1005_B_1,3981,12-Sep-11,NWCA11-1005,NWCA_PROBABILITY,1,B,Y,2,Oa2,16,45,,,,M,0,MUCK,0.09,2.808,0,14,29,2.808,0,3.9312,8.1432
3981-3,3981,3,45,66,Oa,O,55.5,21,M,NA,NA,NA,25.49,0.15,0.178955556,0.15,NWCA11-1005_B_1,3981,12-Sep-11,NWCA11-1005,NWCA_PROBABILITY,1,B,Y,3,Oa3,45,66,,,,M,0,MUCK,0.15,3.8235,0,0,21,3.8235,0,0,8.02935
2776-1,2776,1,0,12,AC,A,6,12,s,96,3.2,0.8,2.61,0.92,0.95722,0.92,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,1,AC,0,12,Y,,,,0,S,0.92,2.4012,5,12,12,2.4012,1.2006,2.88144,2.88144
2776-2,2776,2,12,24,AB,A,18,12,s,97.4,1.4,1.2,0.21,1.51,1.074531111,1.51,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,2,Ab1,12,24,Y,,,,0,S,1.51,0.3171,0,12,12,0.3171,0,0.38052,0.38052
2776-3,2776,3,24,40,C,C,32,16,s,98.1,0.7,1.2,0.07,1.53,1.187473333,1.53,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,3,Cg1,24,40,Y,,,,0,S,1.53,0.1071,0,6,16,0.1071,0,0.06426,0.17136
2776-4,2776,4,40,58,C,C,49,18,s,98.5,1.1,0.4,0.02,1.17,1.279411111,1.17,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,4,Cg2,40,58,Y,,,,0,S,1.17,0.0234,0,0,18,0.0234,0,0,0.04212
2776-5,2776,5,58,77,C,C,67.5,19,s,95.9,2.2,1.9,0.04,1.58,1.373622222,1.58,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,5,Cg3,58,77,Y,,,,0,S,1.58,0.0632,0,0,19,0.0632,0,0,0.12008
2776-6,2776,6,77,107,AB,A,92,30,s,88.1,7.9,4,1.66,NA,1.050668889,NA,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,6,Ab2,77,107,Y,,,,0,S,1.050668889,1.744110356,0,0,23,1.744110356,0,0,4.011453818
2776-7,2776,7,107,130,AB,A,118.5,23,s,88.6,8.3,3.1,0.69,NA,1.078866667,NA,NWCA11-1006_A_1,2776,24-May-11,NWCA11-1006,NWCA_PROBABILITY,1,A,Y,7,Cab,107,130,Y,,,,0,S,1.078866667,0.744418,0,0,0,0.744418,0,0,0
5055-1,5055,1,0,11,A,A,5.5,11,sl,59.6,27.2,13.2,3.28,0.81,0.916211111,0.81,NWCA11-1007_D_1,5055,21-Jul-11,NWCA11-1007,NWCA_PROBABILITY,1,D,Y,1,A1,0,11,,Y,,,0,SL,0.81,2.6568,5,11,11,2.6568,1.3284,2.92248,2.92248
5055-2,5055,2,11,38,A,A,24.5,27,sl,62,24.8,13.2,2.2,1.2,0.907362222,1.2,NWCA11-1007_D_1,5055,21-Jul-11,NWCA11-1007,NWCA_PROBABILITY,1,D,Y,2,A2,11,38,,Y,,,0,SL,1.2,2.64,0,19,27,2.64,0,5.016,7.128
5055-3,5055,3,38,90,AC,A,64,52,sl,65.7,21.6,12.7,0.24,1.8,0.992404444,1.8,NWCA11-1007_D_1,5055,21-Jul-11,NWCA11-1007,NWCA_PROBABILITY,1,D,Y,3,AC,38,90,,Y,,,0,SL,1.8,0.432,0,0,52,0.432,0,0,2.2464
5055-4,5055,4,90,127,C,C,108.5,37,scl,60.9,19,20.1,0.14,NA,1.045893333,NA,NWCA11-1007_D_1,5055,21-Jul-11,NWCA11-1007,NWCA_PROBABILITY,1,D,Y,4,Cg,90,127,,Y,,,0,SCL,1.045893333,0.146425067,0,0,10,0.146425067,0,0,0.146425067
5059-1,5059,1,0,8,Oa,O,4,8,M,NA,NA,NA,22.31,0.05,0.362222484,0.05,NWCA11-1009_D_1,5059,27-Sep-11,NWCA11-1009,NWCA_PROBABILITY,1,D,Y,1,Oa1,0,8,,,,M,0,MUCK,0.05,1.1155,5,8,8,1.1155,0.55775,0.8924,0.8924
5059-2,5059,2,8,24,Oa,O,16,16,M,1.2,51.2,47.6,18.94,0.06,0.372746667,0.06,NWCA11-1009_D_1,5059,27-Sep-11,NWCA11-1009,NWCA_PROBABILITY,1,D,Y,2,Oa2,8,24,,,,M,0,MUCK,0.06,1.1364,0,16,16,1.1364,0,1.81824,1.81824
5059-3,5059,3,24,64,Oa,O,44,40,c,0.7,23.9,75.4,7.26,0.12,0.635517778,0.12,NWCA11-1009_D_1,5059,27-Sep-11,NWCA11-1009,NWCA_PROBABILITY,1,D,Y,3,Oa3,24,64,,,,M,0,C,0.12,0.8712,0,6,40,0.8712,0,0.52272,3.4848
5059-4,5059,4,64,85,Oa,O,74.5,21,M,1.8,42.2,56,28.36,NA,0.741082222,NA,NWCA11-1009_D_1,5059,27-Sep-11,NWCA11-1009,NWCA_PROBABILITY,1,D,Y,4,Oa4,64,85,,,,M,0,MUCK,0.741082222,21.01709182,0,0,21,21.01709182,0,0,44.13589283
5059-5,5059,5,85,103,Oa,O,94,18,MM,2.5,50.8,46.7,14.95,NA,0.800162222,NA,NWCA11-1009_D_1,5059,27-Sep-11,NWCA11-1009,NWCA_PROBABILITY,1,D,Y,5,Oa5,85,103,,,,M,0,MK SIC,0.800162222,11.96242522,0,0,15,11.96242522,0,0,17.94363783
3562-1,3562,1,0,18,A,A,9,18,MM,12.1,36.5,51.4,12.83,0.19,0.26418,0.19,NWCA11-1010_A_1,3562,1-Aug-11,NWCA11-1010,NWCA_PROBABILITY,1,A,Y,1,A,0,18,,,Y,,0,MK C,0.19,2.4377,5,18,18,2.4377,1.21885,4.38786,4.38786
3562-2,3562,2,18,27,B,B,22.5,9,sicl,14.9,56.8,28.3,1.52,0.85,0.773255556,0.85,NWCA11-1010_A_1,3562,1-Aug-11,NWCA11-1010,NWCA_PROBABILITY,1,A,Y,2,Bg1,18,27,,,Y,,0,SICL,0.85,1.292,0,9,9,1.292,0,1.1628,1.1628
3562-3,3562,3,27,38,B,B,32.5,11,c,14,25.1,60.9,10.77,0.21,0.2812,0.21,NWCA11-1010_A_1,3562,1-Aug-11,NWCA11-1010,NWCA_PROBABILITY,1,A,Y,3,Bg2,27,38,,,Y,,0,C,0.21,2.2617,0,3,11,2.2617,0,0.67851,2.48787
3562-4,3562,4,38,63,C,C,50.5,25,c,16.7,34.9,48.4,9.39,0.28,0.333731111,0.28,NWCA11-1010_A_1,3562,1-Aug-11,NWCA11-1010,NWCA_PROBABILITY,1,A,Y,4,Cg,38,63,,,Y,,0,C,0.28,2.6292,0,0,25,2.6292,0,0,6.573
3265-1,3265,1,0,12,Oa,O,6,12,M,NA,NA,NA,22.51,NA,0.410460261,NA,NWCA11-1011_D_1,3265,10-May-11,NWCA11-1011,NWCA_PROBABILITY,1,D,Y,1,Oa1,0,12,,,,M,0,MUCK,0.410460261,9.239460485,5,12,12,9.239460485,4.619730242,11.08735258,11.08735258
3265-2,3265,2,12,33,Oa,O,22.5,21,c,4.2,25.2,70.6,9.94,NA,0.744373333,NA,NWCA11-1011_D_1,3265,10-May-11,NWCA11-1011,NWCA_PROBABILITY,1,D,Y,2,Oa2,12,33,,,,M,0,C,0.744373333,7.399070933,0,18,21,7.399070933,0,13.31832768,15.53804896
3265-3,3265,3,33,74,A,A,53.5,41,PM,NA,NA,NA,23.49,NA,0.65726,NA,NWCA11-1011_D_1,3265,10-May-11,NWCA11-1011,NWCA_PROBABILITY,1,D,Y,3,A,33,74,,,Y,,0,ORGANIC,0.65726,15.4390374,0,0,41,15.4390374,0,0,63.30005334
3265-4,3265,4,74,106,Oa,O,90,32,M,NA,NA,NA,23.85,NA,0.745708889,NA,NWCA11-1011_D_1,3265,10-May-11,NWCA11-1011,NWCA_PROBABILITY,1,D,Y,4,Oab,74,106,,,,M,0,MUCK,0.745708889,17.785157,0,0,26,17.785157,0,0,46.2414082
3265-5,3265,5,106,125,AB,A,115.5,19,MM,23.1,39,37.9,12.12,NA,0.912011111,NA,NWCA11-1011_D_1,3265,10-May-11,NWCA11-1011,NWCA_PROBABILITY,1,D,Y,5,Ab,106,125,,,Y,,0,MK CL,0.912011111,11.05357467,0,0,0,11.05357467,0,0,0
3239-1,3239,1,0,14,A,A,7,14,MM,79.1,17.8,3.1,8.71,0.6,0.597181212,0.6,NWCA11-1014_A_1,3239,4-May-11,NWCA11-1014,NWCA_PROBABILITY,1,A,Y,1,A1,0,14,,,Y,,0,MK LS,0.6,5.226,5,14,14,5.226,2.613,7.3164,7.3164
3239-2,3239,2,14,22,A,A,18,8,MM,86.7,12.5,0.8,6,0.78,0.758328889,0.78,NWCA11-1014_A_1,3239,4-May-11,NWCA11-1014,NWCA_PROBABILITY,1,A,Y,2,A2,14,22,Y,,,,0,MK S,0.78,4.68,0,8,8,4.68,0,3.744,3.744
3239-3,3239,3,22,44,A,A,33,22,s,90.2,9,0.8,2.26,1.29,1.192226667,1.29,NWCA11-1014_A_1,3239,4-May-11,NWCA11-1014,NWCA_PROBABILITY,1,A,Y,3,A3,22,44,Y,,,,0,S,1.29,2.9154,0,8,22,2.9154,0,2.33232,6.41388
3239-4,3239,4,44,71,C,C,57.5,27,s,89.2,9.6,1.2,1.93,1.3,1.236046667,1.3,NWCA11-1014_A_1,3239,4-May-11,NWCA11-1014,NWCA_PROBABILITY,1,A,Y,4,Cg,44,71,Y,,,,0,S,1.3,2.509,0,0,27,2.509,0,0,6.7743
5060-1,5060,1,0,5,A,A,2.5,5,NA,NA,NA,NA,NA,NA,1.064613333,NA,NWCA11-1015_B_1,5060,12-May-11,NWCA11-1015,NWCA_PROBABILITY,1,B,Y,1,A,0,5,,,Y,,0,NA,1.064613333,NA,5,5,5,NA,NA,NA,NA
5060-2,5060,2,5,19,B,B,12,14,c,6.3,30.3,63.4,6.81,0.41,0.810648889,0.41,NWCA11-1015_B_1,5060,12-May-11,NWCA11-1015,NWCA_PROBABILITY,1,B,Y,2,Bg1,5,19,,,Y,,0,C,0.41,2.7921,0,14,14,2.7921,0,3.90894,3.90894
5060-3,5060,3,19,35,B,B,27,16,c,7.3,27.3,65.4,9.08,0.38,0.703297778,0.38,NWCA11-1015_B_1,5060,12-May-11,NWCA11-1015,NWCA_PROBABILITY,1,B,Y,3,Bg2,19,35,,,Y,,0,C,0.38,3.4504,0,11,16,3.4504,0,3.79544,5.52064
3471-1,3471,1,0,15,Oa,O,7.5,15,M,NA,NA,NA,35.61,NA,0.334764029,NA,NWCA11-1017_C_1,3471,22-Jun-11,NWCA11-1017,NWCA_PROBABILITY,1,C,Y,1,Oa1,0,15,,,,M,0,MUCK,0.334764029,11.92094708,5,15,15,11.92094708,5.960473542,17.88142063,17.88142063
3471-2,3471,2,15,27,Oa,O,21,12,M,NA,NA,NA,35.05,NA,0.404368571,NA,NWCA11-1017_C_1,3471,22-Jun-11,NWCA11-1017,NWCA_PROBABILITY,1,C,Y,2,Oa2,15,27,,,,M,0,MUCK,0.404368571,14.17311843,0,12,12,14.17311843,0,17.00774211,17.00774211
3471-3,3471,3,27,37,Oa,O,32,10,M,NA,NA,NA,34.95,NA,0.46944,NA,NWCA11-1017_C_1,3471,22-Jun-11,NWCA11-1017,NWCA_PROBABILITY,1,C,Y,3,Oa3,27,37,,,,M,0,MUCK,0.46944,16.406928,0,3,10,16.406928,0,4.9220784,16.406928
3471-4,3471,4,37,54,Oa,O,45.5,17,M,NA,NA,NA,25.88,NA,0.581,NA,NWCA11-1017_C_1,3471,22-Jun-11,NWCA11-1017,NWCA_PROBABILITY,1,C,Y,4,Oa4,37,54,,,,M,0,MUCK,0.581,15.03628,0,0,17,15.03628,0,0,25.561676
3471-5,3471,5,54,64,C,C,59,10,s,96.1,3.5,0.4,1.25,NA,1.132251111,NA,NWCA11-1017_C_1,3471,22-Jun-11,NWCA11-1017,NWCA_PROBABILITY,1,C,Y,5,Cg,54,64,Y,,,,0,S,1.132251111,1.415313889,0,0,10,1.415313889,0,0,1.415313889
3471-6,3471,6,64,77,AB,A,70.5,13,ls,79,14.3,6.7,3.27,NA,0.981395556,NA,NWCA11-1017_C_1,3471,22-Jun-11,NWCA11-1017,NWCA_PROBABILITY,1,C,Y,6,Ab,64,77,Y,,,,0,LS,0.981395556,3.209163467,0,0,13,3.209163467,0,0,4.171912507
3982-1,3982,1,0,12,Oe,O,6,12,MP,NA,NA,NA,30.4,0.09,0.147562857,0.09,NWCA11-1019_B_1,3982,13-Sep-11,NWCA11-1019,NWCA_PROBABILITY,1,B,Y,1,Oe,0,12,,,,MP,0,MPT,0.09,2.736,5,12,12,2.736,1.368,3.2832,3.2832
3982-2,3982,2,12,38,Oa,O,25,26,M,NA,NA,NA,27.24,0.11,0.153133016,0.11,NWCA11-1019_B_1,3982,13-Sep-11,NWCA11-1019,NWCA_PROBABILITY,1,B,Y,2,Oa1,12,38,,,,M,0,MUCK,0.11,2.9964,0,18,26,2.9964,0,5.39352,7.79064
3982-3,3982,3,38,75,Oa,O,56.5,37,M,NA,NA,NA,35.66,0.14,0.163153333,0.14,NWCA11-1019_B_1,3982,13-Sep-11,NWCA11-1019,NWCA_PROBABILITY,1,B,Y,3,Oa2,38,75,,,,M,0,MUCK,0.14,4.9924,0,0,37,4.9924,0,0,18.47188
3738-1,3738,1,0,21,A,A,10.5,21,sic,3.8,47.3,48.9,2.22,0.93,0.934202222,0.93,NWCA11-1020_C_1,3738,26-Jul-11,NWCA11-1020,NWCA_PROBABILITY,1,C,Y,1,A,0,21,,Y,,,0,SIC,0.93,2.0646,5,21,21,2.0646,1.0323,4.33566,4.33566
3738-2,3738,2,21,44,B,B,32.5,23,sic,3,48.8,48.2,1.63,0.99,1.008648889,0.99,NWCA11-1020_C_1,3738,26-Jul-11,NWCA11-1020,NWCA_PROBABILITY,1,C,Y,2,Bg1,21,44,,Y,,,0,SIC,0.99,1.6137,0,9,23,1.6137,0,1.45233,3.71151
3738-3,3738,3,44,84,B,B,64,40,sic,2.9,47.9,49.2,1.46,0.97,1.025953333,0.97,NWCA11-1020_C_1,3738,26-Jul-11,NWCA11-1020,NWCA_PROBABILITY,1,C,Y,3,Bg2,44,84,,Y,,,0,SIC,0.97,1.4162,0,0,40,1.4162,0,0,5.6648
3469-1,3469,1,0,14,A,A,7,14,c,12.7,38.5,48.8,10.28,0.25,0.297951111,0.25,NWCA11-1021_A_1,3469,6-Jul-11,NWCA11-1021,NWCA_PROBABILITY,1,A,Y,1,A,0,14,,,Y,,0,C,0.25,2.57,5,14,14,2.57,1.285,3.598,3.598
3469-2,3469,2,14,33,Oa,O,23.5,19,MM,22.1,26.6,51.3,14.79,0.16,0.197575556,0.16,NWCA11-1021_A_1,3469,6-Jul-11,NWCA11-1021,NWCA_PROBABILITY,1,A,Y,2,Oab1,14,33,,,,M,0,MK C,0.16,2.3664,0,16,19,2.3664,0,3.78624,4.49616
3469-3,3469,3,33,127,Oa,O,80,94,c,5.3,24.5,70.2,5.52,0.32,0.334584444,0.32,NWCA11-1021_A_1,3469,6-Jul-11,NWCA11-1021,NWCA_PROBABILITY,1,A,Y,3,Oab2,33,127,,,,M,0,C,0.32,1.7664,0,0,67,1.7664,0,0,11.83488
5061-1,5061,1,0,8,Oa,O,4,8,sic,2.2,46.1,51.7,9.99,NA,0.779951111,NA,NWCA11-1023_B_1,5061,28-Sep-11,NWCA11-1023,NWCA_PROBABILITY,1,B,Y,1,Oa1,0,8,,,,M,0,SIC,0.779951111,7.7917116,5,8,8,7.7917116,3.8958558,6.23336928,6.23336928
5061-2,5061,2,8,16,Oe,O,12,8,MP,NA,NA,NA,22.23,NA,0.50574,NA,NWCA11-1023_B_1,5061,28-Sep-11,NWCA11-1023,NWCA_PROBABILITY,1,B,Y,2,Oe,8,16,,,,MP,0,MPT,0.50574,11.2426002,0,8,8,11.2426002,0,8.99408016,8.99408016
5061-3,5061,3,16,38,Oa,O,27,22,c,2.2,28.7,69.1,10.57,NA,0.751391111,NA,NWCA11-1023_B_1,5061,28-Sep-11,NWCA11-1023,NWCA_PROBABILITY,1,B,Y,3,Oa2,16,38,,,,M,0,C,0.751391111,7.942204044,0,14,22,7.942204044,0,11.11908566,17.4728489
5061-4,5061,4,38,55,Oa,O,46.5,17,MM,1.1,26.3,72.6,16.78,NA,0.693802222,NA,NWCA11-1023_B_1,5061,28-Sep-11,NWCA11-1023,NWCA_PROBABILITY,1,B,Y,4,Oa3,38,55,,,,M,0,MK C,0.693802222,11.64200129,0,0,17,11.64200129,0,0,19.79140219
5061-5,5061,5,55,70,Oa,O,62.5,15,M,NA,NA,NA,25.64,NA,0.634084444,NA,NWCA11-1023_B_1,5061,28-Sep-11,NWCA11-1023,NWCA_PROBABILITY,1,B,Y,5,Oa4,55,70,,,,M,0,MUCK,0.634084444,16.25792516,0,0,15,16.25792516,0,0,24.38688773
