Anal,Simple.explanation,Label,Original_limsField
KSSL.Project.lab,Project code assigned by lab,Lab Project,lab_proj_name
KSSL.Project.name,Project code assigned by lab,Lab Project,submit_proj_name
UserPedonID,User Pedon ID (in Lims and NASIS),User Pedon ID,user_pedon_id
Soil,Soil series name assigned at sampling,Soil Series,Sampled As
Comp,,,manual
Crop,,,manual
Cover,,,manual
Mgmt,,,manual
layerID,User pedon ID and horizon sequence number,User Pedon ID and horizon sequence number,lay_field_label1
labsampno,Sample ID assigned by Lims,KSSL Natural Key/ NCSS Lab Sample Number,natural_key
hor_desg,Horizon symbol (nomenclature) used in typical description,Horizon Designation,horizon_designation
hor_top,Upper Depth (cm) of layer/horizon sample,Upper horizon depth (cm),lay_depth_to_top
hor_bot,Lower Depth (cm) of layer/horizon sampled,Lower horizon depth (cm),lay_depth_to_bottom
ADOD,,ADOD,"ADOD-Ratio, Air-dry/Ovendry"
AggStab,Water stable aggregates,Aggregate Stability (%),"AGGSTAB-Aggregate Stability, 0_5-2mm Aggregates"
Bgluc,"B- glucosidase, enzyme extraction",ß-Glucosidase  (mg kg-1 hr-1),"BIOBGLUCO-p-nitrophenol, ß-Glucosidase"
Pom_C,Carbon in Particulate Organic Matter ,POM Carbon (%),"BIOHPOM-Carbon, hpom"
Pom_N,Nitrogen in Particulate Organic Matter,POM Nitrogen (%),"BIOHPOM-Nitrogen, hpom"
Pom_S,Sulfur in Particulate Organic Matter,POM Sulfer (%),"BIOHPOM-Sulfur, hpom"
POX_C,potassium permanganate extractable carbon (known as active C),Reactive Carbon (permanganate extractable)  (mg k-1),"BIOKMNO4-C, KMnO4 extract"
CaCarb,Calcium Carbonate using Ammonium Acetate reagent,Calcium Carbonate (%),"CACO3-Carbonate, <2mm Fraction"
Ca_amextr,Calcium extraction using Ammonium Acetate Reagent,Extracted Ca (mEq 100 g-1),"CECdNH4-Calcium, NH4OAc Extractable, 2M KCl displacement"
CEC_ph7,Cation Exchange Capacity using Ammonium Acetate reagent,CEC at pH7 (ECEC) (mEq 100 g-1),"CECdNH4-CEC, NH4OAc, pH 7_0, 2M KCl displacement"
Mg_amextr,Magnesium extraction using Ammonium Acetate reagent,Extracted Mg (mEq 100 g-1),"CECdNH4-Magnesium, NH4OAc Extractable, 2M KCl displacement"
K_amextr,Potassium extraction using Ammonium Acetate reagent,Extracted K (mEq 100 g-1),"CECdNH4-Potassium, NH4OAc Extractable, 2M KCl displacement"
Na_extr,Sodium extraction using Ammonium Acetate reagent,Extracted Na (mEq 100 g-1),"CECdNH4-Sodium, NH4OAc Extractable, 2M KCl displacement"
CEC_NH4OAc,Extraction of exchangeable Al and a measure of active acidity in soils with pH<5.5,CEC (mg L-1),"CECdNH4-Volume, CEC, NH4OAc, Syringe Extract, 2M KCl displacemen"
BD_3inCore,"Bulk density using the core method (3 inch diamter,  volume at field moist)",3 inch Core Bulk Density at Field Moist (g cm-3),"3 inch Core DBCOMPCAV-Bulk Density, Compliant Cavity, Field Moisture"
FM_core3, 3inField moisture content from core,Field H20 in 3 in core (%),"3 inch core: DBCOMPCAV-Field Water Content, Compliant Cavity"
BD_4inCore,"Bulk density using the core method (4 inch diamter,  volume at field moist)",4 inch Core Bulk Density at Field Moist (g cm-3),"4 inch Core DBCOMPCAV-Bulk Density, Compliant Cavity, Field Moisture"
BD_comp_cav,Bulk Density from compliant cavity,Compliant Cavity Bulk Density (g cm-3),"Compliant Cavity DBCOMPCAV-Bulk Density, Compliant Cavity, Field Moisture"
FM_core4,Field moisture content from core,Field H20 in 4 in core(%),"4 inch core: DBCOMPCAV-Field Water Content, Compliant Cavity"
BD_Clod_13,"Bulk density using the core method (voume at 1/3 bar, approximates field moist)",Bulk Density at 1/3 bar (g cm-3),"DBH2ORET-Bulk Density, <2mm Fraction, 1/3 Bar"
BD_Clod_OD,Bulk density using the core method (valume at oven dry,Bulk Density at Oven Dry Volume (g cm-3),"DBH2ORET-Bulk Density, <2mm Fraction, Ovendry"
WRC_core13,Water retention core, Water Retention ((%),"DBH2ORET-Water Retention, 1/3 Bar, <2mm Clod"
BD_recon13,"Bulk density from reconstituted sample, 1/3 bar",Reconstituted Bulk Density (1/3 bar)( (g cm-3)),"DBRECON-Bulk Density, <2mm Fraction, Reconstituted, 1/3 Bar"
BD_reconOD,"Bulk density from reconstituted sample, 1/3 bar",Reconstituted Bulk Density (oven dry)( (g cm-3)),"DBRECON-Bulk Density, <2mm Fraction, Reconstituted, Ovendry"
FM_recon_moist,"Water retention of reconstituted sample, moist",Reconstituted Water Retention (1/3bar)(%),"DBRECON-Water Retention, 1/3 Bar, Reconstituted, Moist"
Mehlich3_Al,Al is extracted by reaction with acetic acid and Fl compounds using ICP,Mehlich3 Al (mg/kg),"ElMehl3-Aluminum, Element Mehlich3 Extractable"
X,,,"ElMehl3-Arsenic, Element Mehlich3 Extractable"
X,,,"ElMehl3-Barium, Element Mehlich3 Extractable"
X,,,"ElMehl3-Cadmium, Element Mehlich3 Extractable"
Mehlich3_Ca,Ca is extracted by reaction with acetic acid and Fl compounds using ICP,Mehlich3 Ca (mg/kg),"ElMehl3-Calcium, Element Mehlich3 Extractable"
X,,,"ElMehl3-Chromium, Element Mehlich3 Extractable"
X,,,"ElMehl3-Cobalt, Element Mehlich3 Extractable"
X,,,"ElMehl3-Copper, Element Mehlich3 Extractable"
Mehlich3_Fe,Fe is extracted by reaction with acetic acid and Fl compounds using ICP,Mehlich3 Fe (mg/kg),"ElMehl3-Iron, Element Mehlich3 Extractable"
X,,,"ElMehl3-Lead, Element Mehlich3 Extractable"
Mehlich3_Mg,Mg is extracted by reaction with acetic acid and Fl compounds using ICP,Mehlich3 Mg (mg/kg),"ElMehl3-Magnesium, Element Mehlich3 Extractable"
Mehlich3_Mn,Mn is extracted by reaction with acetic acid and Fl compounds using ICP,Mehlich3 Mn (mg/kg),"ElMehl3-Manganese, Element Mehlich3 Extractable"
X,,,"ElMehl3-Molybdenum, Element Mehlich3 Extractable"
X,,,"ElMehl3-Nickel, Element Mehlich3 Extractable"
