Horizon,pedon,field,method1,lab,method2
A,2,7.5,meter,8.3,meter
C,2,7.8,meter,8.6,meter
Cq1,2,8.7,meter,8.9,meter
Cq2,2,9.3,meter,9.5,meter
Cq3,2,9.4,meter,9.5,meter
AC,3,6.1,indicator,8.3,meter
C,3,6.1,indicator,8.3,meter
Ck1,3,7,indicator,8.4,meter
Ck2,3,7.6,indicator,8.4,meter
A,4,7,meter,7.9,meter
Bt,4,7.8,meter,7.8,meter
Btk1,4,7.6,meter,8.1,meter
Btk2,4,8.2,meter,8.3,meter
2Btkq,4,8.4,meter,8.5,meter
2Bkkq,4,8.4,meter,8.8,meter
A,5,8,indicator,8.1,meter
Bk1,5,8,indicator,8.3,meter
Bk2,5,8,indicator,8.2,meter
Bkkqm1,5,8.4,indicator,8.5,meter
Bkkqm2,5,8.4,indicator,8.5,meter
A,6,7.2,indicator,6.8,meter
Bw,6,7.2,indicator,7,meter
Bt,6,7.2,indicator,7,meter
A,7,6.4,meter,7,meter
Bt,7,6.6,meter,7.2,meter
BC,7,6.8,meter,7.6,meter
Ck,7,6.3,meter,8.2,meter
A,8,8.5,meter,,meter
AC,8,8.9,meter,,meter
C1,8,9,meter,,meter
C2,8,8.9,meter,8.6,meter
Ct,8,9.6,meter,9.2,meter
A,9,6.8,indicator,6.8,meter
Bt1,9,7.4,indicator,7.4,meter
Bt2,9,7.6,indicator,,meter
BC,9,8,indicator,,meter
C,9,8,indicator,,meter
